자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
도담동_도램 1315동 앞,무인대여소,,세종특별자치시 도담동 402,36.51380382,127.259114,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
한솔동_우체국 앞,무인대여소,,세종특별자치시 한솔동 1230,36.479888,127.254439,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
보람동_세종남부경찰서 버스정류장,무인대여소,,세종특별자치시 보람동 715,36.480504,127.292663,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
대평동_해들 518동 앞,무인대여소,,세종특별자치시 대평동 567-8,36.47357306,127.2785488,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
어진동_청암빌딩 앞,무인대여소,,세종특별자치시 어진동 494,36.50315781,127.2606571,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
조치원_고려대학교 정문,무인대여소,,세종특별자치시 조치원읍 서창리 177-9,36.608603,127.289234,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
새롬동_새뜸 607동 앞,무인대여소,,세종특별자치시 새롬동 354-1,36.484697,127.248697,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_도램 601동 앞,무인대여소,,세종특별자치시 도담동 851,36.50948318,127.2605888,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_도램 603동 앞,무인대여소,,세종특별자치시 도담동 852,36.50863282,127.260433,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
새롬동_새뜸 306동 앞,무인대여소,,세종특별자치시 새롬동 320,36.485904,127.248062,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
새롬동_새뜸 726동앞 로터리,무인대여소,,세종특별자치시 새롬동 288-1,36.489914,127.246996,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
새롬동_새뜸 718동 앞,무인대여소,,세종특별자치시 새롬동 산 45,36.488171,127.247783,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
소담동_새샘 609동 앞,무인대여소,,세종특별자치시 소담동 583,36.48508569,127.3024716,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
새롬동_새뜸 302동 앞,무인대여소,,세종특별자치시 새롬동 329,36.48603065,127.2459184,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
새롬동_새뜸 208동 앞 로터리,무인대여소,,세종특별자치시 새롬동 341-125,36.483121,127.249288,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
소담동_소담동 타임빌딩 앞,무인대여소,,세종특별자치시 소담동 540,36.485073,127.299956,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
반곡동_수루배 506동 앞,무인대여소,,세종특별자치시 반곡동 47-1,36.49748061,127.3135832,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
어진동_호수공원제3주차장 입구,무인대여소,,세종특별자치시 어진동 630,36.50105391,127.2674351,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
어진동_호수공원 제3주차장 건너편,무인대여소,,세종특별자치시 어진동 738,36.500118,127.267833,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
종촌동_중앙프라자 앞,무인대여소,,세종특별자치시 종촌동 657,36.50473845,127.2495317,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_도램2007동 앞,무인대여소,,세종특별자치시 도담동 633,36.51782156,127.2626823,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
반곡동_수루배209동,무인대여소,,세종특별자치시 반곡동 395-2,36.49588318,127.309734,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
상무1동 행정복지센터,유인대여소,광주광역시 서구 월드컵4강로197번길 20,광주광역시 서구 쌍촌동 333-7,35.1537511,126.867425,09:00,18:00,토+일+공휴일,무료,무료,4,10,Y,수동식,N,062-350-4359,광주광역시 서구청,2023-12-04,3600000,광주광역시 서구
상무2동 행정복지센터,유인대여소,광주광역시 서구 화정로85번길 17,광주광역시 서구 쌍촌동 1227-6,35.1465687,126.866449,09:00,18:00,토+일+공휴일,무료,무료,3,5,Y,수동식,N,062-350-4373,광주광역시 서구청,2023-12-04,3600000,광주광역시 서구
화정1동 행정복지센터,유인대여소,광주광역시 서구 내방로338번길 11,광주광역시 서구 화정동 71-81,35.156352,126.877797,09:00,18:00,토+일+공휴일,무료,무료,4,0,Y,수동식,N,062-350-4393,광주광역시 서구청,2023-12-04,3600000,광주광역시 서구
화정2동 행정복지센터,유인대여소,광주광역시 서구 화운로 94,광주광역시 서구 화정동 1611,35.148339,126.880646,09:00,18:00,토+일+공휴일,무료,무료,4,10,Y,수동식,N,062-350-4415,광주광역시 서구청,2023-12-04,3600000,광주광역시 서구
1332. 석계역 5번 출구 건너편,무인대여소,,서울특별시 성북구 석관동 134-4,37.61350274,127.065864,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),10,10,N,수동식,N,1599-0120,서울특별시청,2023-11-23,3070000,서울특별시 성북구
1333. 석관초등학교 앞,무인대여소,서울특별시 성북구 돌곶이로22길 21,,37.61102341,127.0583548,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),15,15,N,수동식,N,1599-0120,서울특별시청,2023-11-23,3070000,서울특별시 성북구
1334. 석관동주민센터 앞,무인대여소,서울특별시 성북구 화랑로 296,,37.612988,127.0614234,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),10,10,N,수동식,N,1599-0120,서울특별시청,2023-11-23,3070000,서울특별시 성북구
1336. 성북3교 위,무인대여소,"서울특별시 성북구 보문로 192, 성북3교 위",,37.59098811,127.0144387,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),20,20,N,수동식,N,1599-0120,서울특별시청,2023-11-23,3070000,서울특별시 성북구
1337. 돈암성당 옆,무인대여소,"서울특별시 성북구 고려대로7길 120, 돈암성당 옆",,37.59021644,127.0175455,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),10,10,N,수동식,N,1599-0120,서울특별시청,2023-11-23,3070000,서울특별시 성북구
1338. 용문2교 옆,무인대여소,"서울특별시 성북구 고려대로7길 24, 용문2교 옆",,37.58700475,127.0209142,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),15,15,N,수동식,N,1599-0120,서울특별시청,2023-11-23,3070000,서울특별시 성북구
1339. 삼성전자서비스 성북센터,무인대여소,"서울특별시 성북구 월계로 28,삼성전자서비스 성북센터",,37.610332,127.0332974,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),9,9,N,수동식,N,1599-0120,서울특별시청,2023-11-23,3070000,서울특별시 성북구
1340. 광운초등학교 앞,무인대여소,"서울특별시 성북구 한천로 693, 광운초등학교 앞",,37.619053,127.0550899,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),8,8,N,수동식,N,1599-0120,서울특별시청,2023-11-23,3070000,서울특별시 성북구
1342. 성북쉼터 앞,무인대여소,"서울특별시 성북구 성북로21길 32, 성북쉼터 앞",,37.59242334,126.9975271,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),15,15,N,수동식,N,1599-0120,서울특별시청,2023-11-23,3070000,서울특별시 성북구
1343. 한성대입구역 7번 출구 앞,무인대여소,"서울특별시 성북구 동소문로 11, 한성대입구역 7번출구 앞",,37.58927687,127.0073868,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 4만원),10,10,N,수동식,N,1599-0120,서울특별시청,2023-11-23,3070000,서울특별시 성북구
신둔천 자전거대여소,유인대여소,,경기도 이천시 송정동 427,37.30259965,127.4391636,10:00,18:00,매주 월요일+명절 당일,유료,(1인용) 30분 1500원 60분 2000원 추가 10분당 1000원+(2인용) 30분 2000원 60분 3000원 추가 10분당 1000원+(5인승) 30분 10000원 60분 20000원 추가 10분당 3000원+(8인승) 30분 15000원 60분 25000원 추가 10분당 3000원+(1인승전기자전거) 30분 7000원 60분 12000원 추가 10분당 2000원+(2인승 전기자전거) 30분 12000원 60분 20000원 추가 10분,119,,Y,수동식,Y,031-631-7875,이천시장애인자립생활센터,2023-10-31,4070000,경기도 이천시
복하천 자전거대여소,유인대여소,,경기도 이천시 진리동 140,37.26774009,127.4600623,10:00,18:00,매주 월요일+명절 당일,유료,(1인용) 30분 1500원 60분 2000원 추가 10분당 1000원+(2인용) 30분 2000원 60분 3000원 추가 10분당 1000원+(5인승) 30분 10000원 60분 20000원 추가 10분당 3000원+(8인승) 30분 15000원 60분 25000원 추가 10분당 3000원+(1인승전기자전거) 30분 7000원 60분 12000원 추가 10분당 2000원+(2인승 전기자전거) 30분 12000원 60분 20000원 추가 10분,141,,Y,수동식,Y,031-631-7879,이천시장애인자립생활센터,2023-10-31,4070000,경기도 이천시
동림동 산동교 하부,유인대여소,,광주광역시 북구 동림동 126-7,35.18828121,126.8609652,09:00,18:00,12~3월+7~8월,무료,,55,8,Y,수동식,Y,062-410-6774,광주광역시북구청,2023-11-22,3620000,광주광역시 북구
도담동_도담중학교,무인대여소,,세종특별자치시 도담동 922,36.51606788,127.2622416,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_라온프라이빗 우측,무인대여소,,세종특별자치시 도담동 660,36.51430543,127.2586021,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_한신휴시티중앙,무인대여소,,세종특별자치시 도담동 661,36.51430543,127.2586021,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_한신휴시티좌측,무인대여소,,세종특별자치시 도담동 662,36.51430543,127.2586021,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_싱싱장터앞BRT,무인대여소,,세종특별자치시 도담동 647,36.51545898,127.2612342,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_도램1105동앞BRT,무인대여소,,세종특별자치시 도담동 402,36.51380382,127.259194,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_도램1603동앞,무인대여소,,세종특별자치시 도담동 641,36.51453302,127.2656773,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_도담고등학교,무인대여소,,세종특별자치시 도담동 642,36.51420716,127.2634446,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_도램1008동앞,무인대여소,,세종특별자치시 도담동 853,36.51087081,127.2611913,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
해밀동_해밀139동,무인대여소,,세종특별자치시 해밀동 337,36.525831,127.267166,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
연기면_세종중앙공원(남쪽)주차장,무인대여소,,세종특별자치시 연기면 세종리 548-121,36.49217407,127.2701647,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
연기면_세종중앙공원(중앙)공터,무인대여소,,세종특별자치시 연기면 세종리 107-290,36.49448564,127.2738383,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
연기면_세종중앙공원(북쪽)주차장,무인대여소,,세종특별자치시 연기면 세종리 114-264,36.49941433,127.2815947,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
연기면_국립수목원(북쪽)보관소,무인대여소,,세종특별자치시 연기면 세종리 114-242,36.49806345,127.2857893,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_카림에비뉴,무인대여소,,세종특별자치시 도담동 402,36.51380382,127.259194,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
조치원_조치원역,무인대여소,,세종특별자치시 조치원읍 원리 12-6,36.601053,127.297929,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
조치원_우체국,무인대여소,,세종특별자치시 조치원읍 교리 24-3,36.60259347,127.2983317,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
조치원_신흥주공207동,무인대여소,,세종특별자치시 조치원읍 신흥리 393,36.59470014,127.2886997,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
조치원_자이아파트119동,무인대여소,,세종특별자치시 조치원읍 죽림리 117-5,36.591022,127.291523,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
세종동_양화1교차로종촌교다리,무인대여소,,세종특별자치시 세종동9-5,36.503421,127.299561,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
복싱체육관,무인대여소,,충청남도 보령시 죽정동 431-8,36.35635032,126.6051429,00:00,23:59,설연휴+추석연휴,무료,,10,10,Y,기계식,N,041-930-3981,충청남도 보령시청,2023-12-07,4510000,충청남도 보령시
궁촌동복합주민센터,무인대여소,,충청남도 보령시 궁촌동 4-5,36.34536696,126.596905,00:00,23:59,설연휴+추석연휴,무료,,10,10,N,,N,041-930-3981,충청남도 보령시청,2023-12-07,4510000,충청남도 보령시
보령종합터미널,무인대여소,충청남도 보령시 터미널길8,충청남도 보령시 궁촌동 347,36.34249105,126.5896761,00:00,23:59,설연휴+추석연휴,무료,,10,10,N,,N,041-930-3981,충청남도 보령시청,2023-12-07,4510000,충청남도 보령시
보령문화의전당,무인대여소,,충청남도 보령시 대천동 337-26,36.34975367,126.5917188,00:00,23:59,설연휴+추석연휴,무료,,10,10,N,,N,041-930-3981,충청남도 보령시청,2023-12-07,4510000,충청남도 보령시
보령시청,무인대여소,충청남도 보령시 성주산로77,충청남도 보령시 명천동 269-4,36.33357563,126.6127722,00:00,23:59,설연휴+추석연휴,무료,,10,10,N,,N,041-930-3981,충청남도 보령시청,2023-12-07,4510000,충청남도 보령시
LH 아파트 1단지 앞,무인대여소,,충청남도 보령시 명천동 1322,36.3392696,126.6027424,00:00,23:59,설연휴+추석연휴,무료,,10,10,N,,N,041-930-3981,충청남도 보령시청,2023-12-07,4510000,충청남도 보령시
죽정동 공영주차장,무인대여소,,충청남도 보령시 죽정동 729,36.36044423,126.5988579,00:00,23:59,설연휴+추석연휴,무료,,10,10,N,,N,041-930-3981,충청남도 보령시청,2023-12-07,4510000,충청남도 보령시
한내로타리,무인대여소,,충청남도 보령시 동대동 476-28,36.34482541,126.6084255,00:00,23:59,설연휴+추석연휴,무료,,10,10,Y,기계식,N,041-930-3981,충청남도 보령시청,2023-12-07,4510000,충청남도 보령시
동대사거리,무인대여소,,충청남도 보령시 동대동 1958,36.34874824,126.6043343,00:00,23:59,설연휴+추석연휴,무료,,10,10,N,,N,041-930-3981,충청남도 보령시청,2023-12-07,4510000,충청남도 보령시
이편한세상아파트,무인대여소,,충청남도 보령시 동대동 1983,36.35271708,126.6166721,00:00,23:59,설연휴+추석연휴,무료,,10,10,N,,N,041-930-3981,충청남도 보령시청,2023-12-07,4510000,충청남도 보령시
자전거 터미널,유인대여소,충청남도 당진시 신평면 삽교천길 90-15,충청남도 당진시 신평면 운정리 165,36.88641003,126.8258532,10:00,17:00,월요일+화요일,유료,1000원,60,60,Y,기계식,N,041-360-6543,충청남도 당진시청,2023-12-01,5680000,충청남도 당진시
영신유원지 자전거 무료 대여소,무인대여소,,경상북도 문경시 흥덕동 188-1,36.5951581,128.2089702,10:00,17:00,화+금,무료,무료,50,0,Y,,N,054-550-8841,점촌3동행정복지센터,2023-04-21,5120000,경상북도 문경시
갈현동(정보과학도서관 앞),유인대여소,경기도 과천시 중앙로 24,경기도 과천시 갈현동 677,37.41841573,126.989355,09:00,18:00,월요일+화요일+국경일,무료,무료,15,20,Y,수동식,N,02-3677-2289,경기도 과천시청,2023-12-04,3970000,경기도 과천시
중앙동(시민회관 앞),유인대여소,경기도 과천시 통영로 5,경기도 과천시 중앙동 6-2,37.42776096,126.9907412,09:00,18:00,월요일+화요일+국경일,무료,무료,20,20,Y,수동식,N,02-3677-2291,경기도 과천시청,2023-12-04,3970000,경기도 과천시
주암동(주암체육공원 입구),유인대여소,경기도 과천시 장군마을길 62-1,경기도 과천시 주암동 53,37.46160431,127.0325123,09:00,18:00,월요일+화요일+국경일,무료,무료,15,20,Y,수동식,N,02-3677-2290,경기도 과천시청,2023-12-04,3970000,경기도 과천시
4419. 성북구 한예종 캠퍼스 본관,무인대여소,서울특별시 성북구 화랑로32길 146-37,,37.6063581128,127.0539408467,00:01,23:59,연중무휴,유료,7일권(60분 3천원+120분 4천원)+30일권(60분 5천원+120분 7천원)+365일권(60분 3만원+120분 27만원),6,6,N,수동식,N,1599-0143,서울특별시청,2023-11-23,3070000,서울특별시 성북구
